subject_id,task_part,block_condition,block_order,task_block,trial_index,stimulus,cat_type,mean_cat_reward,approach_reward,key_press,rt,points,stimulus_repetition,correct_response,correct_response_made
3768,learning,1,5,vehicles,569,images/plane2.png,good,5,8,1,521,8,2,1,1
3768,learning,1,5,vehicles,571,images/boat2.png,bad,-5,-6,0,715,0,3,0,1
3768,learning,1,5,vehicles,573,images/train1.png,neutral,0,[1],0,731,0,2,0,1
3768,learning,1,5,vehicles,575,images/train4.png,neutral,0,-1,1,876,-1,3,0,0
3768,learning,1,5,vehicles,577,images/boat1.png,bad,-5,-5,0,740,0,3,0,1
3768,learning,1,5,vehicles,579,images/boat2.png,bad,-5,-4,0,637,0,4,0,1
3768,learning,1,5,vehicles,581,images/train4.png,neutral,0,2,0,471,0,4,0,1
3768,learning,1,5,vehicles,583,images/plane8.png,good,5,4,1,903,4,1,1,1
3768,learning,1,5,vehicles,585,images/train4.png,neutral,0,-1,1,1096,-1,5,0,0
3768,learning,1,5,vehicles,587,images/train1.png,neutral,0,[-1],0,129,0,3,0,1
3768,learning,1,5,vehicles,589,images/boat8.png,bad,-5,-5,0,1080,0,2,0,1
3768,learning,1,5,vehicles,591,images/boat8.png,bad,-5,-4,0,626,0,3,0,1
3768,learning,1,5,vehicles,593,images/train6.png,neutral,0,2,0,498,0,3,0,1
3768,learning,1,5,vehicles,595,images/plane2.png,good,5,4,1,722,4,3,1,1
3768,learning,1,5,vehicles,597,images/plane7.png,good,5,6,1,651,6,2,1,1
3768,learning,1,5,vehicles,599,images/train6.png,neutral,0,-2,1,1125,-2,4,0,0
3768,learning,1,5,vehicles,601,images/boat2.png,bad,-5,-7,0,573,0,5,0,1
3768,learning,1,5,vehicles,603,images/plane3.png,good,5,4,1,767,4,1,1,1
3768,learning,1,5,vehicles,605,images/plane2.png,good,5,5,1,631,5,4,1,1
3768,learning,1,5,vehicles,607,images/train8.png,neutral,0,2,1,911,2,1,0,0
3768,learning,1,5,vehicles,609,images/plane4.png,good,5,4,1,696,4,3,1,1
3768,learning,1,5,vehicles,611,images/plane2.png,good,5,7,1,1017,7,5,1,1
3768,learning,1,5,vehicles,613,images/boat2.png,bad,-5,-4,0,1417,0,6,0,1
3768,learning,1,5,vehicles,615,images/boat1.png,bad,-5,-6,0,1065,0,4,0,1
3768,learning,1,5,vehicles,617,images/boat7.png,bad,-5,-3,0,963,0,1,0,1
3768,learning,1,5,vehicles,619,images/boat1.png,bad,-5,-6,0,1268,0,5,0,1
3768,learning,1,5,vehicles,621,images/train3.png,neutral,0,-2,1,1292,-2,1,0,0
3768,learning,1,5,vehicles,623,images/plane4.png,good,5,7,1,1806,7,4,1,1
3768,learning,1,5,vehicles,625,images/train4.png,neutral,0,-1,1,981,-1,6,0,0
3768,learning,1,5,vehicles,627,images/plane4.png,good,5,5,1,1253,5,5,1,1
3768,learning,1,5,vehicles,629,images/boat1.png,bad,-5,-3,0,1013,0,6,0,1
3768,learning,1,5,vehicles,631,images/boat6.png,bad,-5,-7,0,1542,0,1,0,1
3768,learning,1,5,vehicles,633,images/plane4.png,good,5,5,1,1828,5,6,1,1
3768,learning,1,5,vehicles,635,images/plane7.png,good,5,8,1,914,8,3,1,1
3768,learning,1,5,vehicles,637,images/plane2.png,good,5,5,1,1022,5,6,1,1
3768,learning,1,5,vehicles,639,images/train6.png,neutral,0,1,1,407,1,5,0,0
3768,learning,1,5,vehicles,641,images/train6.png,neutral,0,2,1,1152,2,6,0,0
3768,learning,2,6,fruit,658,images/straw1.png,neutral,0,4,NA,NA,-5,1,1,NA
3768,learning,2,6,fruit,660,images/apple7.png,bad,-4,3,NA,NA,-5,1,1,NA
3768,learning,2,6,fruit,662,images/orange2.png,good,5,5,1,625,5,1,1,1
3768,learning,2,6,fruit,664,images/apple1.png,bad,-4,-1,1,922,-1,1,0,0
3768,learning,2,6,fruit,666,images/apple3.png,bad,-4,-9,1,723,-9,1,0,0
3768,learning,2,6,fruit,668,images/straw2.png,neutral,0,-6,1,947,-6,1,0,0
3768,learning,2,6,fruit,670,images/orange8.png,good,5,-5,0,836,0,1,0,1
3768,learning,2,6,fruit,672,images/apple1.png,bad,-4,-1,0,1236,0,2,0,1
3768,learning,2,6,fruit,674,images/orange2.png,good,5,5,1,1284,5,2,1,1
3768,learning,2,6,fruit,676,images/straw2.png,neutral,0,-6,0,754,0,2,0,1
3768,learning,2,6,fruit,678,images/straw5.png,neutral,0,-3,1,763,-3,1,0,0
3768,learning,2,6,fruit,680,images/apple3.png,bad,-4,-9,0,738,0,2,0,1
3768,learning,2,6,fruit,682,images/straw5.png,neutral,0,-3,0,826,0,2,0,1
3768,learning,2,6,fruit,684,images/orange3.png,good,5,6,1,1234,6,1,1,1
3768,learning,2,6,fruit,686,images/orange3.png,good,5,6,1,684,6,2,1,1
3768,learning,2,6,fruit,688,images/straw2.png,neutral,0,-6,0,794,0,3,0,1
3768,learning,2,6,fruit,690,images/apple3.png,bad,-4,-9,0,929,0,3,0,1
3768,learning,2,6,fruit,692,images/straw2.png,neutral,0,-6,0,1066,0,4,0,1
3768,learning,2,6,fruit,694,images/straw1.png,neutral,0,4,0,1090,0,2,1,0
3768,learning,2,6,fruit,696,images/straw5.png,neutral,0,-3,0,779,0,3,0,1
3768,learning,2,6,fruit,698,images/straw1.png,neutral,0,4,1,1100,4,3,1,1
3768,learning,2,6,fruit,700,images/apple1.png,bad,-4,-1,0,762,0,3,0,1
3768,learning,2,6,fruit,702,images/apple7.png,bad,-4,3,0,1489,0,2,1,0
3768,learning,2,6,fruit,704,images/orange3.png,good,5,6,1,719,6,3,1,1
3768,learning,2,6,fruit,706,images/orange3.png,good,5,6,1,622,6,4,1,1
3768,learning,2,6,fruit,708,images/straw5.png,neutral,0,-3,0,959,0,4,0,1
3768,learning,2,6,fruit,710,images/apple1.png,bad,-4,-1,0,654,0,4,0,1
3768,learning,2,6,fruit,712,images/apple3.png,bad,-4,-9,0,702,0,4,0,1
3768,learning,2,6,fruit,714,images/straw6.png,neutral,0,7,0,1422,0,1,1,0
3768,learning,2,6,fruit,716,images/straw2.png,neutral,0,-6,0,742,0,5,0,1
3768,learning,2,6,fruit,718,images/straw2.png,neutral,0,-6,0,679,0,6,0,1
3768,learning,2,6,fruit,720,images/orange8.png,good,5,-5,0,560,0,2,0,1
3768,learning,2,6,fruit,722,images/orange2.png,good,5,5,0,247,0,3,1,0
3768,learning,2,6,fruit,724,images/orange7.png,good,5,1,0,1647,0,1,1,0
3768,learning,2,6,fruit,726,images/apple5.png,bad,-4,9,1,1063,9,1,1,1
3768,learning,2,6,fruit,728,images/orange3.png,good,5,6,1,1127,6,5,1,1
3768,learning,2,6,fruit,730,images/apple3.png,bad,-4,-9,0,871,0,5,0,1
3768,learning,2,6,fruit,732,images/straw5.png,neutral,0,-3,0,823,0,5,0,1
3768,learning,2,6,fruit,734,images/orange2.png,good,5,5,1,1831,5,4,1,1
3768,learning,2,6,fruit,736,images/orange6.png,good,5,-7,1,1694,-7,1,0,0
3768,learning,2,6,fruit,738,images/straw4.png,neutral,0,-2,0,685,0,1,0,1
3768,learning,2,6,fruit,740,images/apple7.png,bad,-4,3,1,1268,3,3,1,1
3768,learning,2,6,fruit,742,images/apple1.png,bad,-4,-1,0,626,0,5,0,1
3768,learning,2,6,fruit,744,images/straw5.png,neutral,0,-3,0,738,0,6,0,1
